LAT,LON,depth
25.69611,85.41833,4.35
25.68306,85.33778,4.24
25.68333,85.2,5.1
25.68333,85.2,5.79
25.84972,85.44194,3.3
25.87694,85.37694,3.55
25.60417,85.51667,4.5
25.86667,85.5625,3.6
25.91944,85.38139,5.3
25.825,85.42083,4.56
22.18194,72.94583,25.3
22.23333,73.05417,23.54
22.30472,73.27167,4.66
22.43889,73.12222,25.6
22.53889,73.175,22.8
22.48333,73.20278,10.17
22.00833,73.38333,35.5
22.07361,73.04583,28.98
22.30833,74.01667,3.57
22.43889,73.12222,24.54
22.44167,73.9625,9.04
22.51667,73.94167,4.81
22.275,73.44167,5.82
22.42083,73.41944,3.58
22.30472,73.27167,14.76
22.28333,73.50278,1.94
22.25861,73.78389,7.3
22.2,74.04167,8
22.01111,74.08333,3.12
22.15944,73.4125,4.75
22.14167,72.90833,14.03
22.18194,72.94583,24.32
22.25,73.71667,9.23
22.25417,73.64167,5.19
22.36667,74.075,4.81
22.36667,74.20833,4.89
22.38333,73.93333,4.53
22.00833,73.38333,35.8
22.05833,74.01667,2.7
22.06667,74.14167,5.57
22.1,73.98333,7.42
22.1375,74.00833,10.87
22.14722,74.02778,6.32
21.9125,73.34167,23.64
22.475,73.31667,6.12
22.0375,73.8875,6.38
22.22778,73.48333,3.4
22.21111,73.74139,5.15
22.39667,73.43222,2.04
22.36389,73.37694,7.82
22.34167,73.83333,3.22
13.98333,74.55,2.04
14.02778,74.52972,2.9
14.22111,74.46694,4.9
14.22778,74.49444,7.8
14.24583,74.55833,2.7
14.24722,74.65556,2.2
14.25972,74.67639,1.25
14.26333,74.43528,2.7
14.26389,74.53056,3.6
14.31667,74.49444,9.1
14.22917,74.85833,4.25
14.25278,74.89167,8.96
14.25556,74.78194,1.3
14.28667,74.86306,8.93
15.03333,74.85222,2.9
15.08778,74.74694,6.8
15.16111,74.75639,2
14.30333,74.84639,6.85
